Email,ScheduleTables,,Session
5277223459,1a -> 12a -> 1a -> 1a,,2
4636176089,12c -> 1a -> 1b -> 1b,,2
5258694499,1b -> 1b -> 1c -> 1c,,2
5193219099,1c -> 1b -> 1d -> 12c,,2
4548055189,1d -> 12c -> 1d -> 1d,,2
4261980049,2a -> 1a -> 2a -> 2a,,2
4974827869,12a -> 1c -> 1a -> 2b,,2
5287507429,2b -> 1d -> 2b -> 2c,,2
5093377829,2c -> 2a -> 2c -> 2d,,2
5225161779,1c -> 2b -> 2b -> 1c,,2
4949623369,2d -> 2c -> 2d -> 3a,,2
4614602599,3a -> 2d -> 1b -> 3b,,2
4855882269,2a -> 3a -> 3a -> 1b,,2
4471709749,3b -> 3a -> 3b -> 2a,,2
5136614179,1a -> 3b -> 3c -> 3c,,2
4261608049,3c -> 3c -> 3d -> 3d,,2
5242425039,2d -> 2a -> 4a -> 3b,,2
4608674759,3c -> 3d -> 4b -> 4a,,2
5250264629,3d -> 1c -> 4c -> 1d,,2
5290394489,4a -> 4a -> 4d -> 4b,,2
5164838869,4b -> 4b -> 5a -> 4c,,2
5256965469,3b -> 4c -> 3a -> 4d,,2
5251671389,4c -> 4d -> 12d -> 5a,,2
5226011429,12b -> 5a -> 5b -> 11c,,2
4929243989,2c -> 2c -> 4a -> 5b,,2
5250052469,4d -> 5b -> 5c -> 5c,,2
5192913969,5a -> 3d -> 5b -> 3c,,2
5257391399,1b -> 5c -> 2d -> 2b,,2
5235448009,4c -> 4c -> 5d -> 5d,,2
5251337409,12d -> 5d -> 6a -> 6a,,2
4878229999,5b -> 4a -> 6b -> 2c,,2
4618480849,5c -> 6a -> 6c -> 5a,,2
4262663579,5d -> 6b -> 2a -> 4d,,2
4548908339,6a -> 6c -> 6d -> 6b,,2
5252146219,6b -> 6d -> 7a -> 6c,,2
5260150439,6c -> 7a -> 7b -> 11d,,2
4256830029,6d -> 7b -> 7c -> 6d,,2
4315909039,7a -> 7c -> 6d -> 7a,,2
5105737899,12b -> 7d -> 7d -> 7b,,2
4548594329,7b -> 6c -> 8a -> 7c,,2
4242757879,7c -> 8a -> 7b -> 12b,,2
4781186069,7d -> 5c -> 8b -> 7d,,2
4547041849,12b -> 12b -> 3a,,2
4255066459,8a -> 3c -> 5d -> 8a,,2
4243209369,8b -> 5d -> 2c -> 8b,,2
4807849179,12c -> 8b -> 8c -> 11d,,2
4646123079,8b -> 12c -> 4c,,2
4435124909,8c -> 6a -> 8d -> 3d,,2
5285849229,8d -> 6b -> 6c -> 7b,,2
5276310439,2b -> 2b -> 6b -> 4b,,2
5262152779,8d -> 8c -> 8a -> 7a,,2
4535873099,7c -> 8d -> 9a -> 12a,,2
5264708889,8c -> 9a -> 9b -> 6a,,2
4822768019,9a -> 7c -> 9c -> 8c,,2
5250263689,9b -> 9b -> 12b,,2
4635303199,9c -> 9c -> 7a -> 8d,,2
5259433079,9d -> 7a -> 9d -> 6d,,2
4257520549,5b -> 7d -> 1c -> 12d,,2
4859569229,1d -> 4b -> 4d -> 9a,,2
5254044099,5d -> 2d -> 3b -> 9b,,2
4261597579,12a -> 9d -> 7c -> 9c,,2
4257471349,5c -> 10a -> 8d -> 8a,,2
4975440249,4d -> 5a -> 10a -> 12c,,2
4548187389,9b -> 1d -> 12b -> 6b,,2
4589865819,7b -> 8c -> 5a -> 9d,,2
5218054089,8a -> 10a -> 3d -> 5d,,2
4494754969,10a -> 12b -> 12c -> 10a,,2
5225090469,12d -> 9b -> 12d -> 7c,,2
5226397759,6b -> 12a -> 10b -> 12d,,2
5267958029,3d -> 10b -> 10c -> 5b,,2
5242911759,6c -> 12d -> 9d -> 9b,,2
5249128549,10b -> 10c -> 10d -> 2d,,2
4648443489,10c -> 11d -> 9a,,2
4947287459,10c -> 10d -> 4c -> 10b,,2
4704784339,5a -> 8d -> 4b -> 10b,,2
4647545399,10d -> 12c -> 11a -> 8d,,2
4653721769,10a -> 11d -> 10a -> 12a,,2
4792481899,6a -> 6d -> 9c -> 10c,,2
4780432609,6d -> 9d -> 8c -> 10a,,2
5016163849,10b -> 10d -> 11b -> 1a,,2
5092086729,7d -> 5b -> 3c -> 10d,,2
4260278139,3a -> 11a -> 11c -> 11c,,2
5223353299,9c -> 8a -> 11a -> 10c,,2
5006896179,10d -> 9c -> 10b -> 6c,,2
4243091309,9a -> 11b -> 11d -> 7d,,2
5189703019,4b -> 11a -> 11b -> 8b,,2
4770340209,11a -> 11c -> 8b -> 8c,,2
5274001109,11b -> 10c -> 11d -> 11a,,2
5274001109,11b -> 11b -> 10d -> 9d,,2
4610984749,11c -> 10b -> 5c -> 10d,,2
4668390759,11a -> 3b -> 12a -> 11b,,2
4611172339,11d -> 11c -> 12a -> 11a,,2
5242620849,7a -> 4d -> 9b -> 4a,,2
4661924969,11d -> 8b -> 7d -> 11b,,2
5255454159,9d -> 12d -> 11c -> 9c,,2
5031350429,11c -> 7b -> 10c -> 5c,,2
5034601339,4a -> 9a -> 6a -> 9a,,2
5236460859,1a -> 1a -> 1a -> 1a,,1
5292184289,1b -> 1b -> 1b -> 1b,,1
5133797099,1b -> 1c -> 1c -> 1c,,1
4607183619,1c -> 1d -> 1d -> 1b,,1
5228202919,1d -> 2a -> 10c -> 1d,,1
5232903319,2a -> 2b -> 1d -> 2a,,1
5231661209,2b -> 2c -> 2a -> 2b,,1
4596357569,2c -> 2d -> 2b -> 2c,,1
5001640159,2d -> 3a -> 2c -> 2d,,1
5254572209,3a -> 3b -> 1b -> 3a,,1
4584242459,3b -> 3c -> 2d -> 3b,,1
5244299459,3c -> 3d -> 3a -> 3a,,1
5234385699,3d -> 4a -> 3b -> 3c,,1
5289534759,3a -> 4b -> 3c -> 3d,,1
5236560399,4a -> 2a -> 3d -> 3b,,1
4258137989,10c -> 1b -> 1c -> 4a,,1
5287576549,4b -> 4a -> 4b,,1
4256749069,4c -> 4c -> 4b -> 4c,,1
4883194249,4d -> 10c -> 10d -> 4d,,1
5245579619,1c -> 4c -> 4c -> 3d,,1
4884358539,10c -> 4d -> 2a -> 1c,,1
4526229599,5a -> 5a -> 4d -> 5a,,1
4570942029,5b -> 5b -> 5a -> 5b,,1
5238434579,5c -> 3c -> 4d -> 5c,,1
5236121699,5d -> 5c -> 5b -> 10b,,1
5236022859,6a -> 2c -> 3c -> 5d,,1
4501901179,1d -> 2b -> 5c -> 6a,,1
5236795249,3b -> 5d -> 5d -> 10c,,1
4274417929,6b -> 4a -> 6a -> 6b,,1
5235359389,6c -> 6a -> 6b -> 6c,,1
4504556809,2c -> 4d -> 6c -> 6d,,1
4495381619,6d -> 6b -> 6d -> 7a,,1
5253011769,2a -> 6c -> 2d -> 2b,,1
4852666459,5b -> 6d -> 7a -> 1a,,1
5085216029,7a -> 7a -> 7b -> 7a,,1
5278479329,7b -> 5d -> 3b -> 10d,,1
5245361199,6d -> 10c -> 7c -> 3c,,1
4493047419,4c -> 7b -> 7d -> 7b,,1
5262150789,7c -> 3b -> 10d -> 10b,,1
4271346479,2d -> 6d -> 1a -> 5b,,1
4741747989,5a -> 1a -> 3d -> 10c,,1
4258301829,7d -> 5a -> 5b -> 5c,,1
4585163109,8a -> 3a -> 8a -> 2c,,1
4279515889,2b -> 7c -> 10c -> 6d,,1
5038299989,8b -> 7d -> 4a -> 7c,,1
4260278769,5c -> 5c -> 8b -> 7d,,1
4637554299,7a -> 6a -> 8a,,1
4988448679,7c -> 3d -> 8c -> 8b,,1
4695312649,3d -> 8a -> 8c -> 8c,,1
4246101209,6b -> 10d -> 3a -> 8c,,1
5290372109,3c -> 8b -> 7a -> 10a,,1
5225760239,8a -> 8c -> 6c -> 8d,,1
5288842359,1a -> 5b -> 2c -> 5a,,1
5291149179,8c -> 8b -> 7d -> 4a,,1
5244691309,10d -> 8d -> 8d -> 6c,,1
4671098279,8d -> 7a -> 6d -> 8b,,1
5257857869,4a -> 2d -> 5d -> 2d,,1
4635047499,9a -> 8c -> 2b -> 9a,,1
5233111119,9a -> 9a -> 9a -> 10d,,1
5279924099,9b -> 9b -> 9b,,1
4613182309,9c -> 9a -> 9c -> 9a,,1
5213095399,4b -> 8d -> 8a -> 10a,,1
5183314219,9c -> 7c -> 6a -> 9b,,1
5277366429,10d -> 9c -> 4b -> 9b,,1
4634621839,4d -> 9c -> 9a -> 8d,,1
5291565699,9d -> 1c -> 9c -> 4d,,1
4568261709,6c -> 9b -> 9d -> 4b,,1
4612417859,10a -> 7d -> 10a -> 9c,,1
5257422119,9d -> 4b -> 4c -> 9d,,1
5182346609,10a -> 9d -> 9b -> 5d,,1
5235645459,6a -> 10d -> 10a -> 6a,,1
4604448739,5d -> 10a -> 5a -> 7d,,1
4816980429,10b -> 8a -> 10b -> 6b,,1
4535025609,9b -> 6c -> 5c -> 1d,,1
5250728849,10b -> 10b -> 8d -> 9d,,1
4806854809,1d -> 10b -> 2a,,1
4656613239,8b -> 9d -> 9d -> 9c,,1
5251190649,8d -> 6b -> 6b -> 8a,,1
4840025159,8c -> 7b -> 7c -> 4c,,1
5225189659,7b -> 10b -> 7b -> 7c,,1
4645975219,7d -> 10a -> 8b -> 7b,,1